ano,ferm_enterica,manejo_estiercol,cult_arroz,man_suelo_argi,quema_resi_agri,tot_ch4,tot_n2o,tot_emisiones,,
1990," 49,222.78 "," 3,620.45 ", 796.71 ," 22,531.02 ", 976.66 ," 52,862.24 "," 24,285.37 "," 77,147.62 ",,
1991," 51,503.63 "," 3,843.63 ", 640.56 ," 21,143.10 ", 976.17 ," 54,951.95 "," 23,155.17 "," 78,107.12 ",,
1992," 50,087.56 "," 3,604.48 ", 648.18 ," 21,228.88 ", 980.40 ," 53,513.75 "," 23,035.74 "," 76,549.50 ",,
1993," 48,982.54 "," 3,741.48 ", 427.74 ," 21,581.01 "," 1,050.71 "," 52,388.27 "," 23,395.22 "," 75,783.49 ",,
1994," 48,621.60 "," 3,730.10 ", 646.41 ," 21,582.16 "," 1,076.54 "," 52,261.30 "," 23,395.50 "," 75,656.81 ",,
1995," 47,879.51 "," 3,775.43 ", 603.84 ," 20,694.38 "," 1,071.51 "," 51,455.09 "," 22,569.59 "," 74,024.68 ",,
1996," 47,443.00 "," 3,618.98 ", 611.79 ," 20,902.95 "," 1,093.76 "," 50,980.87 "," 22,689.60 "," 73,670.48 ",,
1997," 47,977.54 "," 3,783.47 ", 786.50 ," 21,438.47 "," 1,064.49 "," 51,701.04 "," 23,349.43 "," 75,050.48 ",,
1998," 48,309.96 "," 3,826.30 ", 728.87 ," 22,338.61 "," 1,088.03 "," 51,952.50 "," 24,339.27 "," 76,291.78 ",,
1999," 47,104.30 "," 3,894.89 ", 568.75 ," 22,059.63 "," 1,033.91 "," 50,554.13 "," 24,107.35 "," 74,661.48 ",,
2000," 48,760.26 "," 4,064.80 ", 587.47 ," 22,183.22 "," 1,015.29 "," 52,218.18 "," 24,392.87 "," 76,611.05 ",,
2001," 47,786.35 "," 4,134.82 ", 396.05 ," 22,216.16 "," 1,111.66 "," 51,126.26 "," 24,518.78 "," 75,645.04 ",,
2002," 50,079.97 "," 4,184.28 ", 373.36 ," 21,277.12 "," 1,079.67 "," 53,377.49 "," 23,616.90 "," 76,994.40 ",,
2003," 50,104.67 "," 4,164.04 ", 431.99 ," 21,537.32 "," 1,147.45 "," 53,499.99 "," 23,885.48 "," 77,385.46 ",,
2004," 49,840.35 "," 4,254.99 ", 452.61 ," 21,553.14 "," 1,175.37 "," 53,304.13 "," 23,972.33 "," 77,276.46 ",,
2005," 49,379.45 "," 4,233.77 ", 436.47 ," 21,111.32 "," 1,114.21 "," 52,780.51 "," 23,494.71 "," 76,275.23 ",,
2006," 49,591.90 "," 4,285.31 ", 496.85 ," 21,113.21 "," 1,226.82 "," 53,147.08 "," 23,567.02 "," 76,714.10 ",,
2007," 49,980.92 "," 4,347.66 ", 494.96 ," 22,053.80 "," 1,265.74 "," 53,563.00 "," 24,580.07 "," 78,143.06 ",,
2008," 50,505.42 "," 4,387.98 ", 351.59 ," 21,223.14 "," 1,321.43 "," 53,991.92 "," 23,798.65 "," 77,789.56 ",,
2009," 51,227.31 "," 4,404.59 ", 411.48 ," 21,493.68 "," 1,145.05 "," 54,648.19 "," 24,033.91 "," 78,682.11 ",,
2010," 51,672.26 "," 4,446.16 ", 342.11 ," 22,121.35 "," 1,262.74 "," 55,126.54 "," 24,718.06 "," 79,844.61 ",,
2011," 52,033.00 "," 4,468.31 ", 254.36 ," 21,834.52 "," 1,086.68 "," 55,276.94 "," 24,399.94 "," 79,676.88 ",,
2012," 50,594.74 "," 4,478.67 ", 227.50 ," 22,338.81 "," 1,281.11 "," 53,951.56 "," 24,969.27 "," 78,920.83 ",,
